artwork_id,title,artist_id,display_source,category,year,medium,width_cm,height_cm,orientation,status_original,original_price_eur,gelato_profile,gelato_material,gelato_finish,gelato_size_candidates_cm,preferred_upload_path_abs,public_full_path_abs,shopify_handle,shopify_collection_url,notes
canvas-small-bild-mercedes,Bild Mercedes,felix,generated_catalog,canvas_small,2023,,70,50,landscape,available,1200.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Bild-Mercedes-2023.png,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-bild-mercedes/full.webp,,,
canvas-small-bis-zum-letzten-tropfen,bis Zum Letzten Tropfen,felix,generated_catalog,canvas_small,2022,,60,50,landscape,available,700.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/bisZumLetztenTropfen50x60.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-bis-zum-letzten-tropfen/full.webp,,,
canvas-small-blondine-mit-smartphone,Blondine Mit Smartphone,felix,generated_catalog,canvas_small,2022,,40,50,portrait,not_available,,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/BlondineMitSmartphone.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-blondine-mit-smartphone/full.webp,,,
canvas-small-buissnes-as-usuall,buissnes as usuall,felix,generated_catalog,canvas_small,2023,,60,50,landscape,available,1200.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/buissnes as usuall.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-buissnes-as-usuall/full.webp,,,
canvas-small-data-down,Data Down,felix,generated_catalog,canvas_small,2022,,40,50,portrait,available,600.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/DataDown40x50.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-data-down/full.webp,,,
canvas-small-der-rote-luftballon,der rote luftballon,felix,generated_catalog,canvas_small,2022,,40,50,portrait,available,600.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/der_rote_luftballon.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-der-rote-luftballon/full.webp,,,
canvas-small-gefangen-im-geist,gefangen im Geist,felix,generated_catalog,canvas_small,2023,,50,50,square,available,700.00,square_standard,canvas,none,20x20|30x30|50x50,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/gefangen im Geist.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-gefangen-im-geist/full.webp,,,
canvas-small-haltfest-renn-weg,haltfest Renn Weg,felix,generated_catalog,canvas_small,2022,,40,50,portrait,available,620.00,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/haltfestRennWeg40x50.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-haltfest-renn-weg/full.webp,,,
canvas-small-hedonistische-helden,Hedonistische Helden,felix,generated_catalog,canvas_small,2022,,70,50,landscape,not_available,,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Hedonistische Helden.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-hedonistische-helden/full.webp,,,
canvas-small-humania-i-ijpg,Humania I Ijpg,felix,generated_catalog,canvas_small,2021,,68,48,landscape,available,1400.00,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/HumaniaIIjpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-humania-i-ijpg/full.webp,,,
