artwork_id,title,artist_id,display_source,category,year,medium,width_cm,height_cm,orientation,aspect_ratio,status_original,original_price_eur,is_artist_photo,create_print_product,manual_review_required,product_mode,gelato_profile,gelato_material,gelato_finish,gelato_size_candidates_cm,source_image_path,source_image_path_abs,source_image_exists,public_full_path,public_full_path_abs,public_texture_path,public_thumb_path,preferred_upload_path_abs,shopify_handle,shopify_collection_url,notes
canvas-small-zittern-im-zwielicht,Zittern im zwielicht,felix,generated_catalog,canvas_small,2022,,60,75,portrait,0.8000,available,750.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/Zittern im zwielicht 60x75.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Zittern im zwielicht 60x75.jpg,yes,/artworks/canvas-small-zittern-im-zwielicht/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-zittern-im-zwielicht/full.webp,/artworks/canvas-small-zittern-im-zwielicht/texture.webp,/artworks/canvas-small-zittern-im-zwielicht/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Zittern im zwielicht 60x75.jpg,,,
other-atelier-impression,atelier impression,felix,generated_catalog,other,,,,,unknown,,available,,yes,no,yes,manual_review,manual_review,manual,manual,manual,,,no,/artworks/other-atelier-impression/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-atelier-impression/full.webp,/artworks/other-atelier-impression/texture.webp,/artworks/other-atelier-impression/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-atelier-impression/full.webp,,,original_source_missing_or_not_catalogued|missing_dimensions|non_standard_category|artist_photo_not_product
other-portrait-b,portrait b,felix,generated_catalog,other,,,,,unknown,,available,,yes,no,yes,manual_review,manual_review,manual,manual,manual,,,no,/artworks/other-portrait-b/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-portrait-b/full.webp,/artworks/other-portrait-b/texture.webp,/artworks/other-portrait-b/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-portrait-b/full.webp,,,original_source_missing_or_not_catalogued|missing_dimensions|non_standard_category|artist_photo_not_product
other-portraita,portrait.a,felix,generated_catalog,other,,,,,unknown,,available,,yes,no,yes,manual_review,manual_review,manual,manual,manual,,,no,/artworks/other-portraita/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-portraita/full.webp,/artworks/other-portraita/texture.webp,/artworks/other-portraita/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-portraita/full.webp,,,original_source_missing_or_not_catalogued|missing_dimensions|non_standard_category|artist_photo_not_product
other-portraitatelier,portrait.atelier,felix,generated_catalog,other,,,,,unknown,,available,,yes,no,yes,manual_review,manual_review,manual,manual,manual,,,no,/artworks/other-portraitatelier/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-portraitatelier/full.webp,/artworks/other-portraitatelier/texture.webp,/artworks/other-portraitatelier/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/other-portraitatelier/full.webp,,,original_source_missing_or_not_catalogued|missing_dimensions|non_standard_category|artist_photo_not_product
paper-akt-auf-blau,Akt auf Blau,felix,generated_catalog,paper,2023,,,,unknown,,available,450.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /Akt auf Blau.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Akt auf Blau.jpg,yes,/artworks/paper-akt-auf-blau/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-akt-auf-blau/full.webp,/artworks/paper-akt-auf-blau/texture.webp,/artworks/paper-akt-auf-blau/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Akt auf Blau.jpg,,,missing_dimensions
paper-alles-klamauk,alles Klamauk,felix,generated_catalog,paper,2022,,,,unknown,,available,380.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /allesKlamauk.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /allesKlamauk.jpg,yes,/artworks/paper-alles-klamauk/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-alles-klamauk/full.webp,/artworks/paper-alles-klamauk/texture.webp,/artworks/paper-alles-klamauk/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /allesKlamauk.jpg,,,missing_dimensions
paper-augen,augen,felix,generated_catalog,paper,2021,,,,unknown,,available,350.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /augen.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /augen.jpg,yes,/artworks/paper-augen/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-augen/full.webp,/artworks/paper-augen/texture.webp,/artworks/paper-augen/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /augen.jpg,,,missing_dimensions
paper-auslauf,Auslauf,felix,generated_catalog,paper,2021,,,,unknown,,available,560.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /Auslauf.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Auslauf.jpg,yes,/artworks/paper-auslauf/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-auslauf/full.webp,/artworks/paper-auslauf/texture.webp,/artworks/paper-auslauf/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Auslauf.jpg,,,missing_dimensions
paper-bmas-s4,BMAS S4,felix,generated_catalog,paper,2023,,,,unknown,,available,450.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /BMAS S4.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /BMAS S4.jpg,yes,/artworks/paper-bmas-s4/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-bmas-s4/full.webp,/artworks/paper-bmas-s4/texture.webp,/artworks/paper-bmas-s4/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /BMAS S4.jpg,,,missing_dimensions
paper-der-hoffnungs-haenker,der Hoffnungs Hänker,felix,generated_catalog,paper,,,,,unknown,,available,,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,,,no,/artworks/paper-komposition1/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-komposition1/full.webp,/artworks/paper-komposition1/texture.webp,/artworks/paper-komposition1/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-komposition1/full.webp,,,original_source_missing_or_not_catalogued|missing_dimensions
paper-die-bande,Die Bande,felix,generated_catalog,paper,2022,,,,unknown,,not_available,,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /Die_Bande.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Die_Bande.jpg,yes,/artworks/paper-die-bande/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-die-bande/full.webp,/artworks/paper-die-bande/texture.webp,/artworks/paper-die-bande/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Die_Bande.jpg,,,missing_dimensions
paper-im-flus-am-flusss,im flus am flusss,felix,generated_catalog,paper,2022,,,,unknown,,available,400.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /im flus am flusss.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /im flus am flusss.jpg,yes,/artworks/paper-im-flus-am-flusss/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-im-flus-am-flusss/full.webp,/artworks/paper-im-flus-am-flusss/texture.webp,/artworks/paper-im-flus-am-flusss/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /im flus am flusss.jpg,,,missing_dimensions
paper-komposition1,komposition1,felix,generated_catalog,paper,2021,,,,unknown,,available,250.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /komposition1.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /komposition1.jpg,yes,/artworks/paper-komposition1/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-komposition1/full.webp,/artworks/paper-komposition1/texture.webp,/artworks/paper-komposition1/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /komposition1.jpg,,,missing_dimensions
paper-komposition2,komposition2,felix,generated_catalog,paper,2021,,,,unknown,,available,250.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /komposition2.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /komposition2.jpg,yes,/artworks/paper-komposition2/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-komposition2/full.webp,/artworks/paper-komposition2/texture.webp,/artworks/paper-komposition2/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /komposition2.jpg,,,missing_dimensions
paper-nazisim-jkh,"Nazis,im JKH",felix,generated_catalog,paper,2023,,,,unknown,,available,250.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,"../kunst/Bilder/for sale/papier bilder /Nazis,imJKH.jpg","/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Nazis,imJKH.jpg",yes,/artworks/paper-nazisim-jkh/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-nazisim-jkh/full.webp,/artworks/paper-nazisim-jkh/texture.webp,/artworks/paper-nazisim-jkh/thumb.webp,"/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Nazis,imJKH.jpg",,,missing_dimensions
paper-red-flagsailing,Red Flagsailing,felix,generated_catalog,paper,,,,,unknown,,available,,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,,,no,/artworks/paper-vulkan/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-vulkan/full.webp,/artworks/paper-vulkan/texture.webp,/artworks/paper-vulkan/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-vulkan/full.webp,,,original_source_missing_or_not_catalogued|missing_dimensions
paper-slepplesnights,slepplesnights,felix,generated_catalog,paper,2021,,,,unknown,,available,250.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /slepplesnights.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /slepplesnights.jpg,yes,/artworks/paper-slepplesnights/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-slepplesnights/full.webp,/artworks/paper-slepplesnights/texture.webp,/artworks/paper-slepplesnights/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /slepplesnights.jpg,,,missing_dimensions
paper-taenzer,taenzer,felix,generated_catalog,paper,2021,,,,unknown,,available,250.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /taenzer.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /taenzer.jpg,yes,/artworks/paper-taenzer/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-taenzer/full.webp,/artworks/paper-taenzer/texture.webp,/artworks/paper-taenzer/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /taenzer.jpg,,,missing_dimensions
paper-tick-tack-tip,Tick Tack Tip,felix,generated_catalog,paper,2021,,,,unknown,,available,250.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /Tick Tack Tip.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Tick Tack Tip.jpg,yes,/artworks/paper-tick-tack-tip/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-tick-tack-tip/full.webp,/artworks/paper-tick-tack-tip/texture.webp,/artworks/paper-tick-tack-tip/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /Tick Tack Tip.jpg,,,missing_dimensions
paper-vulkan,vulkan,felix,generated_catalog,paper,2021,,,,unknown,,available,250.00,no,no,yes,manual_review,manual_review,fine_art_paper,matte,manual,../kunst/Bilder/for sale/papier bilder /vulkan.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /vulkan.jpg,yes,/artworks/paper-vulkan/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/paper-vulkan/full.webp,/artworks/paper-vulkan/texture.webp,/artworks/paper-vulkan/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/papier bilder /vulkan.jpg,,,missing_dimensions
luca-gelbes-cover,Gelbes Cover,luca,artist_pack:luca,paper,2025,mixed media auf Papier,41,59,portrait,0.6949,available,600.00,no,yes,no,original_available_plus_prints,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,,,no,/artist/luca/images/01_Gelbes_Cover.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/01_Gelbes_Cover.jpg.jpg,/artist/luca/images/01_Gelbes_Cover.jpg.jpg,/artist/luca/images/01_Gelbes_Cover.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/01_Gelbes_Cover.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-schmales-gesicht-auf-blau,Schmales Gesicht auf blau,luca,artist_pack:luca,paper,2025,Acryl auf Papier,60,75,portrait,0.8000,available,675.00,no,yes,no,original_available_plus_prints,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,,,no,/artist/luca/images/02_Schmales_Gesicht_auf_blau.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/02_Schmales_Gesicht_auf_blau.jpg.jpg,/artist/luca/images/02_Schmales_Gesicht_auf_blau.jpg.jpg,/artist/luca/images/02_Schmales_Gesicht_auf_blau.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/02_Schmales_Gesicht_auf_blau.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-figuren-in-der-masse,Figuren in der Masse,luca,artist_pack:luca,paper,2025,Acryl auf Papier,59,99,portrait,0.5960,available,630.00,no,yes,no,original_available_plus_prints,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,,,no,/artist/luca/images/03_Figuren_in_der_Masse.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/03_Figuren_in_der_Masse.jpg.jpg,/artist/luca/images/03_Figuren_in_der_Masse.jpg.jpg,/artist/luca/images/03_Figuren_in_der_Masse.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/03_Figuren_in_der_Masse.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-vorhang,Vorhang,luca,artist_pack:luca,other,2026,Acryl auf Holz,157,140,landscape,1.1214,available,700.00,no,no,yes,manual_review,manual_review,manual,manual,manual,,,no,/artist/luca/images/04_Vorhang.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/04_Vorhang.jpg.jpg,/artist/luca/images/04_Vorhang.jpg.jpg,/artist/luca/images/04_Vorhang.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/04_Vorhang.jpg.jpg,,,original_source_missing_or_not_catalogued|non_standard_category
luca-expressreihe-1,Expressreihe 1,luca,artist_pack:luca,paper,2026,Acryl auf Papier,30,38,portrait,0.7895,available,350.00,no,yes,no,original_available_plus_prints,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,,,no,/artist/luca/images/05_Expressreihe_1.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/05_Expressreihe_1.jpg.jpg,/artist/luca/images/05_Expressreihe_1.jpg.jpg,/artist/luca/images/05_Expressreihe_1.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/05_Expressreihe_1.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-expressreihe-2,Expressreihe 2,luca,artist_pack:luca,paper,2026,Acryl auf Papier,30,38,portrait,0.7895,available,350.00,no,yes,no,original_available_plus_prints,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,,,no,/artist/luca/images/06_Expressreihe_2.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/06_Expressreihe_2.jpg.jpg,/artist/luca/images/06_Expressreihe_2.jpg.jpg,/artist/luca/images/06_Expressreihe_2.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/06_Expressreihe_2.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-homunkulus,Homunkulus,luca,artist_pack:luca,paper,2026,Acryl auf Papier,60,75,portrait,0.8000,available,620.00,no,yes,no,original_available_plus_prints,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,,,no,/artist/luca/images/07_Homunkulus.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/07_Homunkulus.jpg.jpg,/artist/luca/images/07_Homunkulus.jpg.jpg,/artist/luca/images/07_Homunkulus.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/07_Homunkulus.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-wiederkehr,Wiederkehr,luca,artist_pack:luca,paper,2026,Acryl auf Papier,30,38,portrait,0.7895,available,350.00,no,yes,no,original_available_plus_prints,portrait_standard,fine_art_paper,matte,21x30|30x40|50x70|70x100,,,no,/artist/luca/images/08_Wiederkehr.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/08_Wiederkehr.jpg.jpg,/artist/luca/images/08_Wiederkehr.jpg.jpg,/artist/luca/images/08_Wiederkehr.jpg.jpg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/08_Wiederkehr.jpg.jpg,,,original_source_missing_or_not_catalogued
luca-portrait-1,Portrait,luca,artist_pack:luca,other,,,,,unknown,,available,,yes,no,yes,manual_review,manual_review,manual,manual,manual,,,no,/artist/luca/images/Künstlerpic.jpeg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/Künstlerpic.jpeg,/artist/luca/images/Künstlerpic.jpeg,/artist/luca/images/Künstlerpic.jpeg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/Künstlerpic.jpeg,,,original_source_missing_or_not_catalogued|missing_dimensions|non_standard_category|artist_photo_not_product
luca-portrait-2,Portrait 2,luca,artist_pack:luca,other,,,,,unknown,,available,,yes,no,yes,manual_review,manual_review,manual,manual,manual,,,no,/artist/luca/images/fit inspiration für avatar.jpeg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/fit inspiration für avatar.jpeg,/artist/luca/images/fit inspiration für avatar.jpeg,/artist/luca/images/fit inspiration für avatar.jpeg,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artist/luca/images/fit inspiration für avatar.jpeg,,,original_source_missing_or_not_catalogued|missing_dimensions|non_standard_category|artist_photo_not_product
