artwork_id,title,artist_id,display_source,category,year,medium,width_cm,height_cm,orientation,aspect_ratio,status_original,original_price_eur,is_artist_photo,create_print_product,manual_review_required,product_mode,gelato_profile,gelato_material,gelato_finish,gelato_size_candidates_cm,source_image_path,source_image_path_abs,source_image_exists,public_full_path,public_full_path_abs,public_texture_path,public_thumb_path,preferred_upload_path_abs,shopify_handle,shopify_collection_url,notes
canvas-large-ungleichgewicht,Ungleichgewicht,felix,generated_catalog,canvas_large,2022,,115,75,landscape,1.5333,available,1670.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände Groß/Ungleichgewicht115x75.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Ungleichgewicht115x75.jpg,yes,/artworks/canvas-large-ungleichgewicht/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-ungleichgewicht/full.webp,/artworks/canvas-large-ungleichgewicht/texture.webp,/artworks/canvas-large-ungleichgewicht/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Ungleichgewicht115x75.jpg,,,
canvas-large-welches-spiel,welches Spiel,felix,generated_catalog,canvas_large,2022,,80,100,portrait,0.8000,not_available,,no,yes,no,prints_only_original_sold,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände Groß/welchesSpiel80x100.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/welchesSpiel80x100.jpg,yes,/artworks/canvas-large-welches-spiel/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-welches-spiel/full.webp,/artworks/canvas-large-welches-spiel/texture.webp,/artworks/canvas-large-welches-spiel/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/welchesSpiel80x100.jpg,,,
canvas-large-zeit-rieselt,Zeit rieselt,felix,generated_catalog,canvas_large,2023,,160,100,landscape,1.6000,available,3470.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände Groß/Zeit rieselt .jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Zeit rieselt .jpg,yes,/artworks/canvas-large-zeit-rieselt/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-large-zeit-rieselt/full.webp,/artworks/canvas-large-zeit-rieselt/texture.webp,/artworks/canvas-large-zeit-rieselt/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände Groß/Zeit rieselt .jpg,,,
canvas-small-amrunden-tisch,amrunden Tisch,felix,generated_catalog,canvas_small,2023,,40,50,portrait,0.8000,not_available,,no,yes,no,prints_only_original_sold,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/amrundenTisch.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/amrundenTisch.jpg,yes,/artworks/canvas-small-amrunden-tisch/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-amrunden-tisch/full.webp,/artworks/canvas-small-amrunden-tisch/texture.webp,/artworks/canvas-small-amrunden-tisch/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/amrundenTisch.jpg,,,
canvas-small-b-adestrndbueroo,B Adestrndbüroo,felix,generated_catalog,canvas_small,2023,,60,50,landscape,1.2000,not_available,,no,yes,no,prints_only_original_sold,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/BAdestrndbüroo.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/BAdestrndbüroo.jpg,yes,/artworks/canvas-small-b-adestrndbueroo/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-b-adestrndbueroo/full.webp,/artworks/canvas-small-b-adestrndbueroo/texture.webp,/artworks/canvas-small-b-adestrndbueroo/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/BAdestrndbüroo.jpg,,,
canvas-small-bild-mercedes,Bild Mercedes,felix,generated_catalog,canvas_small,2023,,70,50,landscape,1.4000,available,1200.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/Bild-Mercedes-2023.png,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Bild-Mercedes-2023.png,yes,/artworks/canvas-small-bild-mercedes/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-bild-mercedes/full.webp,/artworks/canvas-small-bild-mercedes/texture.webp,/artworks/canvas-small-bild-mercedes/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/Bild-Mercedes-2023.png,,,
canvas-small-bis-zum-letzten-tropfen,bis Zum Letzten Tropfen,felix,generated_catalog,canvas_small,2022,,60,50,landscape,1.2000,available,700.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/bisZumLetztenTropfen50x60.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/bisZumLetztenTropfen50x60.jpg,yes,/artworks/canvas-small-bis-zum-letzten-tropfen/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-bis-zum-letzten-tropfen/full.webp,/artworks/canvas-small-bis-zum-letzten-tropfen/texture.webp,/artworks/canvas-small-bis-zum-letzten-tropfen/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/bisZumLetztenTropfen50x60.jpg,,,
canvas-small-blondine-mit-smartphone,Blondine Mit Smartphone,felix,generated_catalog,canvas_small,2022,,40,50,portrait,0.8000,not_available,,no,yes,no,prints_only_original_sold,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/BlondineMitSmartphone.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/BlondineMitSmartphone.jpg,yes,/artworks/canvas-small-blondine-mit-smartphone/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-blondine-mit-smartphone/full.webp,/artworks/canvas-small-blondine-mit-smartphone/texture.webp,/artworks/canvas-small-blondine-mit-smartphone/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/BlondineMitSmartphone.jpg,,,
canvas-small-buissnes-as-usuall,buissnes as usuall,felix,generated_catalog,canvas_small,2023,,60,50,landscape,1.2000,available,1200.00,no,yes,no,original_available_plus_prints,landscape_standard,canvas,none,30x21|40x30|70x50|100x70,../kunst/Bilder/for sale/leihnwände klein/buissnes as usuall.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/buissnes as usuall.jpg,yes,/artworks/canvas-small-buissnes-as-usuall/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-buissnes-as-usuall/full.webp,/artworks/canvas-small-buissnes-as-usuall/texture.webp,/artworks/canvas-small-buissnes-as-usuall/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/buissnes as usuall.jpg,,,
canvas-small-data-down,Data Down,felix,generated_catalog,canvas_small,2022,,40,50,portrait,0.8000,available,600.00,no,yes,no,original_available_plus_prints,portrait_standard,canvas,none,21x30|30x40|50x70|70x100,../kunst/Bilder/for sale/leihnwände klein/DataDown40x50.jpg,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/DataDown40x50.jpg,yes,/artworks/canvas-small-data-down/full.webp,/Users/felixipfling/Documents/Ideas/kunst-museum/public/artworks/canvas-small-data-down/full.webp,/artworks/canvas-small-data-down/texture.webp,/artworks/canvas-small-data-down/thumb.webp,/Users/felixipfling/Documents/Ideas/kunst/Bilder/for sale/leihnwände klein/DataDown40x50.jpg,,,
